longitude,latitude,objectid,hydroid,ahgfftype,name,perennial,netnodeid,mapnodeid,wstoreuse,wstorname,wstorsyst,wstorurl,srcfcname,srcftype,srctype,sourceid,featrel,fsource,attrrel,attrsource,planacc,symbol,textnote,albersarea,concatid,demh,wstorid,globalid,Shape__Area,Shape__Length
139.41172920366103,-35.9144982017489,134746,43630002,26,THE COORONG,Perennial,43195463.0,,,,,,Lakes,Lake,0,12830092.0,2003/01/08 00:00:00+00,GEOSCIENCE AUSTRALIA,2003/01/08 00:00:00+00,GEOSCIENCE AUSTRALIA,100,, ,207916448.745919,439281.0,0,,dd2f6a78-c1c3-4601-9d31-b082f8250df2,317653189.078125,405072.119100646
141.9056411833243,-36.04751545973681,137052,43632308,26,LAKE HINDMARSH,Perennial,43204948.0,,,,,,Lakes,Lake,0,12833317.0,1999/01/01 00:00:00+00,DSE,1999/01/01 00:00:00+00,DSE,9999,, ,134638831.848014,439983.0,0,,f2de85a4-dcb3-4dfa-bb6b-eeb7323a98d2,206386126.054688,74883.0934915393
145.96582492453473,-37.162217566337354,138134,43633390,25,LAKE EILDON,Perennial,43253716.0,,ReservoirTown,Lake Eildon,Goulburn (SS6),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Lake%20Eildon,Reservoirs,Town Water Storage,3,12824875.0,1999/01/01 00:00:00+00,DSE,1999/01/01 00:00:00+00,DSE,9999,,SLAKE,133545843.104157,113117.0,0,1126.0,3dafd192-34b3-4536-8a45-4b43164dd676,210661672.945312,634139.008485601
142.3284754273108,-32.34206019477288,138135,43633391,25,LAKE MENINDEE ,Perennial,43206242.0,,ReservoirTown,Lake Menindee,Lower Darling (SS18),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Lake%20Menindee,Reservoirs,Town Water Storage,3,12824931.0,2000/02/09 00:00:00+00,LPI,2021/04/24 00:00:00+00,LPI,10,,SLAKE,156676809.622902,440158.0,0,1147.0,816e8db2-daf2-48ab-936d-0233a8fb303d,220128976.078125,63456.6686024836
139.1490308411767,-35.44924463921351,138144,43633400,25,LAKE ALEXANDRINA,Perennial,43194420.0,,ReservoirTown,Lake Alexandrina,SA Murray (SS11),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Lake%20Alexandrina,Reservoirs,Town Water Storage,3,12826494.0,2002/03/09 00:00:00+00,GEOSCIENCE AUSTRALIA,2002/03/09 00:00:00+00,GEOSCIENCE AUSTRALIA,100,,SLAKE,623034682.278532,439281.0,0,1111.0,6ae7c0b8-bdbd-4929-9a5a-7f9e6fa76e31,940917371.5,336940.491979115
139.28381092296178,-35.61878054305895,138145,43633401,25,LAKE ALBERT,Perennial,43408305.0,,ReservoirTown,Lake Albert,SA Murray (SS11),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Lake%20Albert,Reservoirs,Town Water Storage,3,12826705.0,2002/03/09 00:00:00+00,GEOSCIENCE AUSTRALIA,2021/04/24 00:00:00+00,GEOSCIENCE AUSTRALIA,100,,SLAKE,186449002.085418,113155.0,0,1110.0,66796554-5128-4ab6-a0fb-7497d6f0e0f5,282760274.824219,147497.335386356
146.0915530768,-36.457038502690686,138149,43633405,25,LAKE MOKOAN,Perennial,43255280.0,,ReservoirTown,,,,Reservoirs,Town Water Storage,3,12827708.0,2002/01/06 00:00:00+00,GEOSCIENCE AUSTRALIA,2002/01/06 00:00:00+00,GEOSCIENCE AUSTRALIA,100,, ,76078136.7792073,443966.0,0,,8162d7b6-cbf9-4cb2-8e24-d622c0e2bebb,117837199.25,71921.7056885892
147.1502838169691,-36.08284316453897,138159,43633415,25,LAKE HUME,Perennial,43271180.0,,ReservoirTown,Hume,NSW Murray (SS14),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Hume,Reservoirs,Town Water Storage,3,12829572.0,2008/07/28 00:00:00+00,DSE,2008/07/28 00:00:00+00,DSE,15,,SLAKE,194173896.690948,106311.0,0,1093.0,2a0a3f0b-6246-48f7-95cc-429477924585,297912637.039062,544402.68969874
141.27570356809179,-33.990955611670955,138160,43633416,25,LAKE VICTORIA ,Perennial,43202366.0,,ReservoirTown,Lake Victoria,Lower Darling (SS18),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Lake%20Victoria,Reservoirs,Town Water Storage,3,12830071.0,2000/06/21 00:00:00+00,LPI,2000/06/21 00:00:00+00,LPI,5,,SLAKE,112709861.533871,439824.0,0,1166.0,f1a0e302-f404-4b96-913b-3517fd72dc02,164368669.722656,62700.8211071044
142.22839469281942,-32.47289997257513,138169,43633425,25,LAKE CAWNDILLA ,Perennial,43206123.0,,ReservoirTown,Lake Cawndilla,Lower Darling (SS18),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Lake%20Cawndilla,Reservoirs,Town Water Storage,3,12832835.0,2000/02/09 00:00:00+00,LPI,2000/02/09 00:00:00+00,LPI,5,,SLAKE,93090495.8711573,440140.0,0,1123.0,6a20474b-af68-4b9e-8168-fd46786a496f,131167085.53125,64058.5796309287
149.17855885185023,-32.679808721999066,138423,43633679,25,LAKE BURRENDONG ,Perennial,43337448.0,,ReservoirTown,Burrendong,Macquarie-Castlereagh (SS20),http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Burrendong,Reservoirs,Town Water Storage,3,12835269.0,2009/03/09 00:00:00+00,LPI,2009/03/09 00:00:00+00,LPI,15,,SLAKE,84063105.7541037,108907.0,0,1025.0,396e8431-5b36-4dd9-85f6-f9fc30f6aa50,118990067.050781,401857.544998051
